MacherTypes	SelectorTypes	DetectorType	descriptorType	FrameNo	Processing Time(ms)	TTC_Lidar(s) 	TTC_Camera (s) 	 Difference (s)	 Abs Difference (s) 
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	0	33	0	0	0	0
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	1	33	12.514	12.8023	-0.288307	0.288307
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	2	34	12.4141	12.9979	-0.583806	0.583806
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	3	34	14.0874	12.4843	1.60309	1.60309
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	4	34	16.6851	13.0755	3.6096	3.6096
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	5	34	15.5839	12.6603	2.92361	2.92361
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	6	34	12.8867	12.9482	-0.0615015	0.0615015
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	7	34	11.9813	11.7751	0.206178	0.206178
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	8	34	13.1207	12.08	1.04065	1.04065
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	9	34	13.2508	12.3291	0.921723	0.921723
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	10	34	11.1731	12.1562	-0.983021	0.983021
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	11	35	12.3767	11.9865	0.390213	0.390213
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	12	35	9.12483	12.0293	-2.90444	2.90444
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	13	35	10.0317	12.5242	-2.49254	2.49254
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	14	34	9.46977	11.5425	-2.0727	2.0727
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	15	35	8.57106	11.6181	-3.04702	3.04702
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	16	36	9.64521	nan	nan	nan
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	17	35	9.67916	11.5162	-1.83701	1.83701
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	18	38	8.34732	10.7262	-2.37884	2.37884
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	19	38	8.90191	11.2846	-2.38265	2.38265
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	20	37	7.7276	7.99898	-0.271382	0.271382
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	21	38	6.69091	7.0534	-0.362489	0.362489
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	22	39	8.61576	8.39054	0.225226	0.225226
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	23	40	7.98397	6.70729	1.27667	1.27667
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	24	39	7.78661	9.77602	-1.98941	1.98941
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	25	39	6.48247	8.49694	-2.01448	2.01448
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	26	37	6.96515	7.80031	-0.835158	0.835158
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	27	38	6.71208	10.0004	-3.28829	3.28829
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	28	37	8.38333	11.2074	-2.82404	2.82404
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	29	35	7.00121	10.9382	-3.93698	3.93698
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	30	36	10.3403	10.009	0.331364	0.331364
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	31	37	9.88983	10.7841	-0.894247	0.894247
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	32	37	9.46559	13.4681	-4.00251	4.00251
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	33	36	7.07262	10.9382	-3.86557	3.86557
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	34	36	10.5421	12.6251	-2.08296	2.08296
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	35	35	7.95718	8.54907	-0.591897	0.591897
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	36	34	10.0272	6.88087	3.14635	3.14635
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	37	36	6.79376	6.70204	0.0917168	0.0917168
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	38	36	6.14713	5.95236	0.194769	0.194769
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	39	35	6.93682	6.78158	0.155245	0.155245
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	40	35	5.7578	7.62296	-1.86516	1.86516
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	41	36	6.06904	6.30017	-0.231126	0.231126
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	42	36	6.27251	7.6581	-1.3856	1.3856
