MacherTypes,SelectorTypes,DetectorType,descriptorType,FrameNo,SR NO,Processing Time (ms),TTC_Lidar (s) ,TTC_Camera (s), Difference (s ),abs diff (s)
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,0,1,33,0,0,0,0
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,1,2,33,12.1699,11.8381,0.33175,0.33175
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,2,3,33,12.7186,11.5822,1.13633,1.13633
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,3,4,34,15.2237,10.5626,4.66113,4.66113
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,4,5,34,15.8359,11.592,4.24393,4.24393
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,5,6,34,14.0188,12.3765,1.64235,1.64235
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,6,7,34,13.7569,11.2788,2.47809,2.47809
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,7,8,34,12.0908,10.6235,1.46731,1.46731
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,8,9,34,12.0481,12.67,-0.621876,0.621876
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,9,10,35,13.2785,10.4663,2.81216,2.81216
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,10,11,34,11.9678,11.0653,0.902566,0.902566
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,11,12,34,11.8416,10.967,0.874626,0.874626
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,12,13,35,9.84676,10.8743,-1.02752,1.02752
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,13,14,35,9.59105,10.2477,-0.656681,0.656681
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,14,15,35,9.49744,8.79728,0.700164,0.700164
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,15,16,36,8.53255,8.97357,-0.441024,0.441024
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,16,17,35,9.34636,10.2878,-0.941459,0.941459
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,17,18,35,10.3301,10.4894,-0.159274,0.159274
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,18,19,37,8.01828,8.33444,-0.316158,0.316158
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,19,20,37,8.73453,10.8724,-2.1379,2.1379
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,20,21,37,7.60762,7.22511,0.382511,0.382511
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,21,22,38,6.65747,8.4518,-1.79433,1.79433
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,22,23,39,8.39602,8.44426,-0.0482435,0.0482435
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,23,24,40,8.04892,8.05316,-0.0042448,0.0042448
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,24,25,39,7.71065,9.7029,-1.99225,1.99225
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,25,26,38,6.72681,6.91042,-0.183612,0.183612
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,26,27,37,7.2581,7.53206,-0.273967,0.273967
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,27,28,38,6.83081,7.59701,-0.766193,0.766193
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,28,29,37,8.44743,8.45528,-0.00785065,0.00785065
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,29,30,34,7.35544,9.18617,-1.83073,1.83073
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,30,31,36,8.67686,10.2475,-1.57061,1.57061
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,31,32,38,9.89826,8.62362,1.27464,1.27464
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,32,33,36,10.0768,10.9588,-0.881976,0.881976
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,33,34,36,7.89896,8.60111,-0.702144,0.702144
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,34,35,36,9.30684,7.85316,1.45369,1.45369
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,35,36,35,7.76281,7.26088,0.501935,0.501935
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,36,37,34,8.94222,9.00442,-0.0622044,0.0622044
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,37,38,36,6.87684,6.92023,-0.0433908,0.0433908
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,38,39,35,6.38429,7,-0.615713,0.615713
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,39,40,35,6.86031,6.39382,0.46649,0.46649
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,40,41,35,5.22446,6.19224,-0.967781,0.967781
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,41,42,35,6.45573,7.02362,-0.56789,0.56789
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,42,43,36,6.18741,6.48714,-0.29973,0.29973
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,43,44,35,7.45869,6.14065,1.31804,1.31804
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,44,45,35,5.96031,6.82001,-0.859694,0.859694
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,45,46,36,6.1975,6.87962,-0.682129,0.682129
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,46,47,35,8.20812,7.88247,0.325653,0.325653
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,47,48,35,7.74436,9.62249,-1.87814,1.87814
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,48,49,35,10.4886,9.14454,1.34406,1.34406
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,49,50,35,18.4132,9.69748,8.71568,8.71568
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,50,51,35,14.5189,12.095,2.42386,2.42386
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,51,52,35,17.7215,13.5844,4.13711,4.13711
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,52,53,35,19.3714,14.9419,4.42951,4.42951
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,53,54,36,62.2967,16.6632,45.6335,45.6335
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,54,55,35,-83.5193,17.7874,-101.307,101.307
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,55,56,36,-193.045,18.4288,-211.474,211.474
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,56,57,35,63.3098,16.5068,46.8031,46.8031
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,57,58,35,204.076,18.2512,185.825,185.825
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,58,59,35,-79.5,18.7376,-98.2376,98.2376
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,59,60,35,65.4466,15.6906,49.756,49.756
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,60,61,36,-1570.93,16.1303,-1587.06,1587.06
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,61,62,36,-287.634,17.4646,-305.098,305.098
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,62,63,35,221.712,17.3447,204.367,204.367
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,63,64,36,-388.437,16.9,-405.337,405.337
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,64,65,36,90.0319,17.7106,72.3213,72.3213
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,65,66,36,-110.693,15.0768,-125.77,125.77
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,66,67,36,179.034,18.2255,160.809,160.809
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,67,68,36,-154.506,18.5618,-173.068,173.068
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,68,69,35,170.118,18.5065,151.612,151.612
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,69,70,36,-182.321,15.3443,-197.665,197.665
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,70,71,36,792.605,19.1086,773.496,773.496
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,71,72,36,334.736,17.8037,316.932,316.932
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,72,73,36,-291.678,17.2959,-308.974,308.974
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,73,74,36,-1062.59,14.0612,-1076.65,1076.65
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,74,75,35,1787.63,12.9219,1774.71,1774.71
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,75,76,36,189.22,17.4639,171.756,171.756
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,76,77,35,-387.618,18.3685,-405.986,405.986
MAT_BF     ,SEL_NN     ,SHITOMASI ,BRISK     ,77,78,36,-0.12987,17.8825,-18.0124,18.0124
